Title,URL,Score:viral,Score:educational,Score:controversial,Score:community,Score:evergreen,Score:hype,Published at,Positive interestingness,Positive negative coefficient,Total interestingness,Views,Likes,Dislikes,Comments,Total reaction,Global buzz index
Exploding Bubbles,https://www.youtube.com/watch?v=u1WaWTyWXRc,0.043972,0.046934,0.000032,0.500395,190.068272,4844.714265,2023-06-26 17:29:22,0.0777,404717.0000,0.0785,5210645,404717,0,4131,408848,2130361786960
These Faces Are The Same Color!,https://www.youtube.com/watch?v=ccLUxJvViUA,0.047917,0.046931,0.000019,0.500465,505.341580,12882.282814,2024-06-07 13:11:27,0.0775,727756.0000,0.0785,9387462,727756,0,8739,736495,6913818825690
What's The Most Popular Age To Be?,https://www.youtube.com/watch?v=uAX_mnOl8oU,0.050872,0.046769,0.000014,0.500523,518.484423,13244.223279,2023-10-28 19:51:00,0.0772,973419.0000,0.0783,12600999,973419,0,13187,986606,12432221219394
The Experiment We Didn't Show,https://www.youtube.com/watch?v=Hb-w7qpWNsE,0.050667,0.046922,0.000014,0.500360,899.749731,22996.081756,2024-12-18 02:16:17,0.0775,954159.0000,0.0783,12306722,954159,0,8871,963030,11851742487660
Constrained Writing #shorts,https://www.youtube.com/watch?v=PnvPY_d0njs,0.051300,0.046703,0.000014,0.500264,328.109718,8413.520697,2022-03-08 22:48:00,0.0775,1010447.0000,0.0780,13043571,1010447,0,6896,1017343,13269785651853
How Many Times Should You Flip?,https://www.youtube.com/watch?v=cJx9ol2wKv0,0.046622,0.046575,0.000021,0.500673,639.205132,16395.504324,2025-01-09 00:30:06,0.0766,644799.0000,0.0780,8414825,644799,0,11331,656130,5521219127250
THE FINNISH COINCIDENCE #shorts,https://www.youtube.com/watch?v=zN5LdqhaFuw,0.048898,0.046343,0.000016,0.500640,224.070381,5760.787662,2021-04-05 21:17:32,0.0765,831870.0000,0.0778,10872758,831870,0,13938,845808,9196265698464
The Speed Of Poop,https://www.youtube.com/watch?v=vTV_SQJSN-A,0.046917,0.046149,0.000020,0.500821,366.649900,9454.412553,2023-10-24 20:28:50,0.0759,685753.0000,0.0776,9032815,685753,0,14846,700599,6328381156185
An Infinite Dilemma of Bliss and Suffering,https://www.youtube.com/watch?v=aHcVmjhTqhc,0.047401,0.045831,0.000018,0.501304,360.366599,9295.887992,2023-07-11 19:14:26,0.0749,738588.0000,0.0775,9857908,738588,0,25719,764307,7534468089756
Anagram Land,https://www.youtube.com/watch?v=jX9YzpypH1g,0.052595,0.046370,0.000012,0.500385,953.734151,24647.126411,2024-10-14 03:21:44,0.0766,1133314.0000,0.0774,14791248,1133314,0,11396,1144710,16931689498080
I Made A Solenoid Engine!,https://www.youtube.com/watch?v=S85VFXRKptk,0.041481,0.046396,0.000052,0.500306,177.098612,4576.790867,2024-07-26 15:28:45,0.0768,238800.0000,0.0774,3110459,238800,0,1917,240717,748740359103
Vsauce Office Tour 1 #shorts,https://www.youtube.com/watch?v=SmHLmwzG6q4,0.041820,0.046088,0.000045,0.500478,78.032228,2021.515345,2021-06-16 15:29:29,0.0762,279833.0000,0.0772,3670294,279833,0,3519,283352,1039985145488
Eunoia,https://www.youtube.com/watch?v=iYwufaWCZbQ,0.039809,0.046194,0.000086,0.500760,303.593748,7881.766302,2025-10-16 23:28:39,0.0755,138241.0000,0.0770,1830796,138241,0,2797,141038,258211806248
THANK YOU! #shorts,https://www.youtube.com/watch?v=GeYK9JdPVMw,0.039448,0.045830,0.000109,0.500338,32.056504,836.688281,2021-11-01 19:35:34,0.0759,106582.0000,0.0766,1403498,106582,0,963,107545,150939192410
Who Is The Most Famous Person Ever?,https://www.youtube.com/watch?v=zjIE3S1LeD0,0.050378,0.045232,0.000014,0.501268,526.011263,13754.499619,2023-09-28 20:05:02,0.0739,998230.0000,0.0765,13498994,998230,0,34249,1032479,13937427826126
