Title,URL,Score:viral,Score:educational,Score:controversial,Score:community,Score:evergreen,Score:hype,Published at,Duration,Positive interestingness,Positive negative coefficient,Total interestingness,Views,Likes,Dislikes,Comments,Total reaction,Global buzz index
LIVE: Launch of China's Shenzhou-21 Manned Spacecraft,https://www.youtube.com/watch?v=QIHQpGeg9wM,0.016129,0.009893,0.003245,0.500581,5.860167,708.304304,2025-10-31 16:32:00,12176,0.0150,2397.0000,0.0165,160210,2397,0,253,2650,424556500
LIVE: Beijing holds 2024's first flag-raising ceremony at Tiananmen Square,https://www.youtube.com/watch?v=hF-aTkG9rGc,0.010636,0.009482,0.008098,0.500176,0.512070,62.397728,2024-01-01 11:48:13,625,0.0148,829.0000,0.0164,55870,829,0,87,916,51176920
LIVE: Flag-Raising Ceremony at Tian'anmen Square on China's National Day,https://www.youtube.com/watch?v=ifjnzhVv8xI,0.016527,0.009183,0.003199,0.500967,1.441595,176.738433,2023-10-01 10:17:50,542,0.0140,2437.0000,0.0163,174520,2437,0,409,2846,496683920
LIVE: Opening Ceremony of Boao Forum for Asia Annual Conference 2023,https://www.youtube.com/watch?v=BSY0q0cA7NQ,0.008186,0.008854,0.021871,0.498528,0.115545,15.228031,2023-03-30 04:06:31,6996,0.0141,252.0000,0.0151,17858,252,0,18,270,4821660
Jiang Zemin's Remains Cremated in Beijing,https://www.youtube.com/watch?v=jve4hn-rETc,0.008503,0.009131,0.020184,0.498208,0.108376,14.313459,2022-12-05 16:43:26,826,0.0151,278.0000,0.0151,18424,278,0,0,278,5121872
Ashes of Jiang Zemin Scattered into Sea,https://www.youtube.com/watch?v=9G4te-HNlK8,0.011639,0.009076,0.005930,0.499582,0.466321,62.137310,2022-12-11 13:40:05,465,0.0150,1194.0000,0.0150,79617,1194,0,0,1194,95062698
LIVE: China's Chang'e-6 Returns to Earth,https://www.youtube.com/watch?v=TrFGMaB9kjo,0.015597,0.008240,0.003536,0.500623,1.714622,238.806724,2024-06-25 18:26:17,1911,0.0126,2172.0000,0.0144,171728,2172,0,293,2465,423309520
Chinese President Receives Credentials of 70 Ambassadors,https://www.youtube.com/watch?v=RAMqOx2pLrA,0.011977,0.008101,0.005571,0.500594,0.649203,90.493468,2023-04-25 02:05:19,526,0.0124,1284.0000,0.0143,103777,1284,0,204,1488,154420176
Water Diversion Project in China Achieves Simultaneous Development of All Domains,https://www.youtube.com/watch?v=mi6P0aOFM14,0.007407,0.008203,0.028721,0.497742,0.117359,16.709487,2024-03-06 02:11:42,466,0.0130,180.0000,0.0140,13882,180,0,14,194,2693108
China Successfully Launches Shenzhou-21 Crewed Spaceship,https://www.youtube.com/watch?v=GKTtUGrqSwU,0.020318,0.007222,0.002717,0.500778,7.705631,1258.169832,2025-11-01 06:18:23,354,0.0104,2938.0000,0.0122,283861,2938,0,538,3476,986700836
Live: Closing Ceremony of the 20th CPC National Congress,https://www.youtube.com/watch?v=ga3X_dgOU7o,0.007429,0.007327,0.017887,0.498452,0.121275,20.004749,2022-10-22 04:38:14,4287,0.0121,322.0000,0.0121,26640,322,0,0,322,8578080
Update: Xi Attends Commissioning of China's Fujian Aircraft Carrier,https://www.youtube.com/watch?v=JQLd1LwR03M,0.091456,0.007087,0.000574,0.500770,44.689011,7541.958177,2025-11-07 14:32:45,572,0.0103,16953.0000,0.0119,1653732,16953,0,2644,19597,32408186004
LIVE: Chinese Premier Li Qiang meets press,https://www.youtube.com/watch?v=H4WWokob94Y,0.005757,0.006337,0.040702,0.496554,0.057577,10.162978,2023-03-13 04:00:01,5021,0.0096,116.0000,0.0112,12091,116,0,20,136,1644376
"Update: Xi Visits Hautes-Pyrenees, Exchanges Views on Issues of Common Concern with Macron",https://www.youtube.com/watch?v=VQ9fVMaZP8o,0.007543,0.005894,0.012907,0.499765,0.368704,70.658331,2024-05-08 07:46:49,432,0.0088,477.0000,0.0104,54234,477,0,88,565,30642210
