Title,URL,Score:viral,Score:educational,Score:controversial,Score:community,Score:evergreen,Score:hype,Published at,Duration,Positive interestingness,Positive negative coefficient,Total interestingness,Views,Likes,Dislikes,Comments,Total reaction,Global buzz index
Évolution du CID Angoulême-Ruelle,https://www.youtube.com/watch?v=2-Oi1Z0Btrw,0.005978,0.006639,0.136326,0.478261,0.003746,0.650758,2018-01-16 16:28:48,100,0.0110,22.0000,0.0110,1998,22,0,0,22,43956
"Naval Group reveals the SMX 31 E, its 2020 concept ship",https://www.youtube.com/watch?v=JEZy9AAurfs,0.013579,0.006600,0.015770,0.498670,0.091282,16.674898,2020-10-23 09:22:22,180,0.0109,375.0000,0.0109,34343,375,0,0,375,12878625
[SUFFREN] ⚓️ Les étapes de la construction,https://www.youtube.com/watch?v=e3CHla0sniI,0.011693,0.006451,0.019663,0.498264,0.057269,10.682314,2019-07-26 12:24:20,279,0.0107,287.0000,0.0107,26860,287,0,0,287,7708820
[#BESTOF] Launching of the Suffren ⚓️ July 12th 2019,https://www.youtube.com/watch?v=Z9zgB0F5zB0,0.005701,0.006369,0.149787,0.475000,0.003964,0.713922,2019-07-18 06:28:26,58,0.0105,19.0000,0.0105,1801,19,0,0,19,34219
Launching of the third-generation of nuclear ballistic missile submarines programme,https://www.youtube.com/watch?v=L_qhc4-hWIk,0.005702,0.005870,0.099542,0.486111,0.009292,1.863048,2021-02-22 19:20:04,56,0.0097,35.0000,0.0097,3609,35,0,0,35,126315
"Naviris, the JV between Fincantieri and Naval Group is now fully operational",https://www.youtube.com/watch?v=MxeCNu0tbkA,0.005177,0.005747,0.160576,0.472222,0.003842,0.763363,2020-01-14 16:30:00,192,0.0095,17.0000,0.0095,1788,17,0,0,17,30396
⚓Coulisses d'un arrêt technique de FREMM,https://www.youtube.com/watch?v=BOqhrIWF9k4,0.009093,0.005742,0.029513,0.497196,0.155187,33.073253,2024-11-20 16:10:18,139,0.0092,174.0000,0.0093,18861,174,0,2,176,3319536
Naval Group reçoit la Ministre des Armées sur le chantier de transformation du SNA Perle,https://www.youtube.com/watch?v=xDncffJ9USY,0.010172,0.005601,0.024700,0.497706,0.057727,12.427657,2021-04-12 17:53:34,130,0.0092,217.0000,0.0092,23466,217,0,0,217,5092122
"Naval Group, power at sea",https://www.youtube.com/watch?v=VCakiFd84l8,0.007942,0.005427,0.037215,0.496286,0.023850,5.209523,2018-10-04 16:12:04,76,0.0089,130.0000,0.0091,14635,130,0,3,133,1946455
Naval Group: BIG PICTURE,https://www.youtube.com/watch?v=PMlNsGCmbl8,0.007936,0.005430,0.037215,0.496285,0.050202,11.039857,2022-10-18 08:01:50,103,0.0088,130.0000,0.0090,14734,130,0,3,133,1959622
⚓🎬 Talents étonnants – épisode 20 : responsable lot de travaux,https://www.youtube.com/watch?v=9McdtPKOWtk,0.004529,0.007146,0.277987,0.428571,0.066707,13.093657,2026-04-22 11:38:43,129,0.0087,6.0000,0.0087,687,6,0,0,6,4122
Lancement de la réalisation du programme SNLE de troisième génération,https://www.youtube.com/watch?v=tv-w1YHHypo,0.008150,0.005230,0.035098,0.496454,0.036335,8.360543,2021-02-19 15:34:17,56,0.0086,140.0000,0.0086,16222,140,0,0,140,2271080
Mise à l'eau de la frégate Fremm Normandie,https://www.youtube.com/watch?v=LRY47C4Qhzc,0.008798,0.005104,0.031405,0.497068,0.027538,6.361216,2018-02-05 14:13:58,73,0.0083,161.0000,0.0086,19404,161,0,6,167,3240468
Naval Group - 2017 highlights,https://www.youtube.com/watch?v=4-GSUtXzSu0,0.004643,0.005100,0.173287,0.468750,0.002605,0.578402,2018-01-16 10:14:58,68,0.0084,15.0000,0.0084,1776,15,0,0,15,26640
[MISE A L'EAU] ⚓ Le Suffren a été descendu en fond de bassin,https://www.youtube.com/watch?v=uAwEYK5vfMw,0.008425,0.004958,0.033227,0.496689,0.030112,7.297754,2019-08-02 14:33:15,26,0.0082,150.0000,0.0082,18298,150,0,0,150,2744700
